"","workerData","model","softness","obedience","alpha","kl_factor","type","cross_validated","Nr"
"82",0.326223140495867,0.332999999999999,"0","0",1,"1","fullRSA","no",1
"83",0.344413223140495,0.332999999999999,"0","0",1,"1","fullRSA","no",1
"84",0.328743801652892,0.332999999999999,"0","0",1,"1","fullRSA","no",1
"85",0.0976265060240964,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"86",0.125963855421687,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"87",0.104168674698795,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"88",0.103168674698795,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"89",0.10444578313253,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"90",0.118638554216867,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"91",0.102313253012048,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"92",0.127253012048193,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"93",0.115963855421687,0.111,"individually_opt","0",1,"1","fullRSA","no",2
"94",0.148030612244898,0.129428571428571,"individually_opt","0",1,"1","fullRSA","no",2
"95",0.131285714285714,0.127275510204082,"individually_opt","0",1,"1","fullRSA","no",2
"96",0.133132653061224,0.122122448979592,"individually_opt","0",1,"1","fullRSA","no",2
"97",0.114969387755102,0.122122448979592,"individually_opt","0",1,"1","fullRSA","no",2
"98",0.119091836734694,0.127275510204082,"individually_opt","0",1,"1","fullRSA","no",2
"99",0.124020408163265,0.122122448979592,"individually_opt","0",1,"1","fullRSA","no",2
"100",0.116744897959184,0.122122448979592,"individually_opt","0",1,"1","fullRSA","no",2
"101",0.112816326530612,0.127275510204082,"individually_opt","0",1,"1","fullRSA","no",2
"102",0.132632352941176,0.140661764705882,"individually_opt","0",1,"1","fullRSA","no",2
"103",0.163573529411765,0.149705882352941,"individually_opt","0",1,"1","fullRSA","no",2
"104",0.141205882352941,0.140661764705882,"individually_opt","0",1,"1","fullRSA","no",2
"105",0.146632352941176,0.149705882352941,"individually_opt","0",1,"1","fullRSA","no",2
"106",0.131029411764706,0.134970588235294,"individually_opt","0",1,"1","fullRSA","no",2
"107",0.130176470588235,0.134970588235294,"individually_opt","0",1,"1","fullRSA","no",2
"108",0.154705882352941,0.149705882352941,"individually_opt","0",1,"1","fullRSA","no",2
"109",0.141422330097087,0.15421359223301,"individually_opt","0",1,"1","fullRSA","no",2
"110",0.203553398058252,0.179461165048544,"individually_opt","0",1,"1","fullRSA","no",2
"111",0.132684466019417,0.15421359223301,"individually_opt","0",1,"1","fullRSA","no",2
"112",0.18,0.179461165048544,"individually_opt","0",1,"1","fullRSA","no",2
"113",0.136004854368932,0.15421359223301,"individually_opt","0",1,"1","fullRSA","no",2
"114",0.206174757281553,0.179461165048544,"individually_opt","0",1,"1","fullRSA","no",2
"115",0.177387755102041,0.163204081632653,"individually_opt","0",1,"1","fullRSA","no",2
"116",0.146826530612245,0.168836734693878,"individually_opt","0",1,"1","fullRSA","no",2
"117",0.160795918367347,0.163204081632653,"individually_opt","0",1,"1","fullRSA","no",2
"118",0.167622448979592,0.168836734693878,"individually_opt","0",1,"1","fullRSA","no",2
"119",0.180551020408163,0.175785714285714,"individually_opt","0",1,"1","fullRSA","no",2
"120",0.166581632653061,0.161244897959184,"individually_opt","0",1,"1","fullRSA","no",2
"121",0.146972602739726,0.15154794520548,"individually_opt","0",1,"1","fullRSA","no",2
"122",0.148794520547945,0.140712328767123,"individually_opt","0",1,"1","fullRSA","no",2
"123",0.178219178082192,0.15154794520548,"individually_opt","0",1,"1","fullRSA","no",2
"124",0.135369863013699,0.140712328767123,"individually_opt","0",1,"1","fullRSA","no",2
"125",0.110013698630137,0.134534246575343,"individually_opt","0",1,"1","fullRSA","no",2
"126",0.143958904109589,0.140712328767123,"individually_opt","0",1,"1","fullRSA","no",2
"127",0.136643835616438,0.140712328767123,"individually_opt","0",1,"1","fullRSA","no",2
"128",0.152028571428571,0.172942857142857,"individually_opt","0",1,"1","fullRSA","no",2
"129",0.181057142857143,0.160657142857143,"individually_opt","0",1,"1","fullRSA","no",2
"130",0.154457142857143,0.172942857142857,"individually_opt","0",1,"1","fullRSA","no",2
"131",0.184628571428571,0.160657142857143,"individually_opt","0",1,"1","fullRSA","no",2
"132",0.174457142857143,0.160657142857143,"individually_opt","0",1,"1","fullRSA","no",2
"133",0.153,0.172942857142857,"individually_opt","0",1,"1","fullRSA","no",2
"134",0.29259375,0.176875,"individually_opt","0",1,"1","fullRSA","no",2
"135",0.1078125,0.13728125,"individually_opt","0",1,"1","fullRSA","no",2
"136",0.11565625,0.13728125,"individually_opt","0",1,"1","fullRSA","no",2
"137",0.1263125,0.13728125,"individually_opt","0",1,"1","fullRSA","no",2
"138",0.1128125,0.13728125,"individually_opt","0",1,"1","fullRSA","no",2
"139",0.12384375,0.13728125,"individually_opt","0",1,"1","fullRSA","no",2
"140",0.120875,0.13728125,"individually_opt","0",1,"1","fullRSA","no",2
"141",0.161243902439024,0.189162601626016,"individually_opt","0",1,"1","fullRSA","no",2
"142",0.176910569105691,0.163829268292683,"individually_opt","0",1,"1","fullRSA","no",2
"143",0.15990243902439,0.160357723577236,"individually_opt","0",1,"1","fullRSA","no",2
"144",0.186934959349593,0.160813008130081,"individually_opt","0",1,"1","fullRSA","no",2
"145",0.151154471544715,0.161975609756098,"individually_opt","0",1,"1","fullRSA","no",2
"146",0.163617886178862,0.164292682926829,"individually_opt","0",1,"1","fullRSA","no",2
"147",0.213858974358974,0.213166666666667,"individually_opt","0",1,"1","fullRSA","no",2
"148",0.138487179487179,0.185384615384615,"individually_opt","0",1,"1","fullRSA","no",2
"149",0.254102564102564,0.208115384615384,"individually_opt","0",1,"1","fullRSA","no",2
"150",0.159538461538461,0.185384615384615,"individually_opt","0",1,"1","fullRSA","no",2
