"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0,0,0,0,0,0,1.53119518889375,0.01,1.59704869729901,0.104368451443142,1.55396587770376,0.00118999051145163,0.363257940588092
"2",1,0,0,0,0,0,0.0389597383069647,3.31304491262446,0.0694198395070943,0.763647614527383,0.0697375659763297,0.00446507143954508,0.152365969441849
"3",2,0,0,0,0,0,0.0951655808425928,1.12521717458026,0.0945730840787988,0.00769845989067602,0.0950374934252768,0.0146797084237105,1.14810899585329
"4",3,0,0,0,0,0,0.0998769016725743,0.423886329296575,0.0953338211780928,0,0.0998760205273889,-2.77555756156289e-17,0.42386754845658
"5",4,0,0,0,0,0,0,0.01,0,4.72138303285522,0,0.850759712128119,0.01
"6",5,0,0,0,0,0,0.361044679781781,1.18942804734817,0.358680238928966,0,0.361043782328037,0,1.18942639704598
"7",6,0,0,0,0,0,0.0196560950680935,2.6382818157562,0.0205141835496344,0.00246335342177436,0.0204390164828145,0.0134680967203589,1.56515055899798
"8",7,0,0,0,0,0,0.0975432226473954,2.77012005305968,0.092585002735067,0.0237220834678071,0.0965533900866086,0.892342699799776,7.20288642540043
"9",8,0,0,0,0,0,0.254430630732614,0.889580519827552,0.254423577994776,0.0427968433630407,0.252095388005366,0.00782797199806669,0.643075428521746
"10",9,0,0,0,0,0,0,23.9074238609209,0,10.209975294591,0,2.02855856415151,0.01
"11",10,0,0,0,0,0,0.234551287037244,0.01,0.219817777985607,3.0956478714296,0.217999600523927,0.00206594308640989,0.0495287000582205
"12",11,0,0,0,0,0,0.341519779021758,0.238883312658908,0.354873945252042,1.05890152962872,0.354889177578507,1.66668032541691,1.41489617694478
"13",12,0,0,0,0,0,0.0567916406010805,0.173937977437879,0.0607113977739488,0.0158393947055602,0.0582336816259671,0.00104787301165882,0.591736702710389
"14",13,0,0,0,0,0,0.176720211884088,0.859491601111507,0.14918636278626,9.66087443857411,0.149122621382364,0.336464861376581,0.0725252621241045
"15",14,0,0,0,0,0,3777141.09192061,0.01,1.02737947249999,1477.49613765543,1.02735723974057,28494.8126087771,0.01
"16",15,0,0,0,0,0,0.22457917677957,0.01,0.222374078115177,0.0147897140915135,0.224578289470927,0,0.01
"17",16,0,0,0,0,0,0.220392181043328,0.0930324632193994,0.240108205152055,0.00951470827406163,0.220392777489847,0,0.0930317371456159
"18",17,0,0,0,0,0,0.154248839289838,0.01,0.143839029026012,0.628698344229191,0.140052881767754,0.00180203526551218,0.167287036933521
"19",18,0,0,0,0,0,0.319832096619422,0.01,0.344293781405477,0.0908855236014725,0.350461101717624,0.00109699560930617,0.328643666556786
"20",19,0,0,0,0,0,0.428458786556896,0.01,0.444730619125165,0.0397766427374912,0.428458619422637,0,0.01
"21",20,0,0,0,0,0,0.322521550513914,0.01,0.295531664129142,0.0162242183018786,0.322520104129334,0,0.01
"22",21,0,0,0,0,0,0.439937218287484,0.305375805593641,0.443136990792863,0.072973444715594,0.436931621835246,0.00225505350122829,0.42255912212691
"23",22,0,0,0,0,0,0.0924796203446931,0.666270671719897,0.0959784185659141,0.57769565474364,0.0882041087423144,0.0012501386071103,0.176065798976763
"24",23,0,0,0,0,0,0.101654473039032,1.70780216134025,0.104960289475672,0,0.101654716683488,0,1.70781646918859
"25",24,0,0,0,0,0,0.714894076624173,0.01,0.772818707187107,0.00923697482668471,0.714894839718464,0,0.01
"26",26,0,0,0,0,0,1.61795919878255,0.01,1.51831719328774,1.5135815962263,1.51858437129227,33.5526303329586,17.2369884712216
"27",27,0,0,0,0,0,0.00867917717561091,0.0451739824694228,0.00744032334196184,8.25790127158544,0.00759837955453181,0.983895248371968,0.0209640012684362
"28",28,0,0,0,0,0,3.96021999930837,17.5703237885142,2.68277342934446,0.0413318504651884,3.96023365052167,0.0176614163821395,30.1546937161357
"29",29,0,0,0,0,0,2.80726290033381,0.0738431825897435,2.56041719869049,13.3064981465914,2.56042011946631,39.6031063147816,2.9056269595885
"30",30,0,0,0,0,0,0.00197059049904919,5.23777283293448,0.0155132303798625,0,0.00203699591182009,8.46282651014361e-07,5.20747612111707
"31",31,0,0,0,0,0,2.55485243819796,0.01,2.6786293531171,0.883178414024453,2.68630975727694,35.9156041611642,26.9479610640439
"32",32,0,0,0,0,0,0.0265398494532445,0.01,0.0272773998913823,0,0.026539849579674,0,0.01
"33",33,0,0,0,0,0,0.00451889551135936,0.294014528872805,0.00282234346843536,3045.40139202546,0.00269065063064123,0.948957866242237,0.0125481076344828
"34",35,0,0,0,0,0,2.3280727446774,5.41635179209804,2.17783761991344,776.207803120093,2.3159535248995,1.4199496396543,20.8562358909304
"35",36,0,0,0,0,0,0,100,0,6.66399925922924,0,1.2191724556665,0.01
