"","V1","V2","V3","V4","V5"
"3",2,0.0905333146483758,0.145761497262358,0.0905400700606394,0.00830904357695919
"4",3,0.102649887964626,0.173014941214626,0.102671314634891,0
"5",4,5.8811045049607e-05,5.8811045049607e-05,0,4.68553053403921
"6",5,0.357153819943068,0.418996324698925,0.357308262591978,0.0133762450018004
"7",6,0.0200920285710096,0.0940985686199095,0.0200079573039359,0.00671393387125232
"8",7,0.0906919117349537,0.141732300584789,0.0917920979230821,0.0342221169744563
"9",8,0.24697454256633,0.296679789321868,0.247810095090762,0.0565499684126761
"10",9,5.8811045049607e-05,5.8811045049607e-05,0,10.3415439133881
"11",10,0.234668352893574,0.148919780145654,0.217124219385063,2.66793936545215
"12",11,0.338515753499593,0.284161924878532,0.355456559185319,1.09647535979584
"13",12,0.055862350606312,0.132697403200025,0.0558843913064361,0.0121073947141404
"14",13,0.161020076655638,0.0963989412171968,0.148674366237068,8.55320281569076
"15",14,9997701516.2338,2.49262091116984,1.02723246635174,1142.33834105076
"16",15,0.224637159469435,0.266015254070451,0.224704017639937,0.0131268040650353
"17",16,0.219261673303423,0.295494244606536,0.219273082009505,0
"18",17,0.154197055005029,0.114044138468249,0.135856928487861,0.46871938409883
"19",18,0.319678471125248,0.348131060487963,0.321293451309679,0.104649699577783
"20",19,0.428481370731595,0.490690711822447,0.428243657939296,0.0108825219026408
"21",20,0.322781117350604,0.371415682403069,0.322549130511498,0.00574113467247398
"22",21,0.437918369993265,0.470332995721314,0.435888006184156,0.0785475818967151
"23",22,0.0868691240088231,0.0713735887952708,0.087476390011671,0.431957214641014
"24",23,0.107702420376411,0.197464682504025,0.107725647375039,0
"25",24,0.714489405090147,0.849853578258075,0.714925029017787,0.00346190810178468
"26",26,1.61834365238145,1.40909580590642,1.51659540247373,1.49359348555901
"27",27,0.00864733686881572,0.00321879464010343,0.00747379556789715,9.88944425787975
"28",28,2.4603326150513,2.60779308456198,2.48324866191893,0.0580125009076425
"29",29,2.81921523078203,2.24175536144309,2.55850812562147,12.7418424083189
"30",30,0.0178274326900056,0.0883863736706006,0.0178291851129434,0
"31",31,2.55286922469359,2.40089383053402,2.50758025510313,0.506180792198306
"32",32,0.0265022924101469,0.079297916227161,0.0265230761671647,0
"33",33,0.00437633161767814,0.00106279455024018,0.00257727390479512,3.32960832143671
"34",35,2.19956154864846,1.93025094948585,2.17820273775976,3302.9940797656
"35",36,5.8811045049607e-05,5.8811045049607e-05,0,6.61466601384532
"36",37,1.53747680748258,1.31988647072473,1.46958353177961,14.8460874692957
"37",38,1.95863421889201,2.07256207172086,1.98827847179427,0.102443306177464
"38",39,0.206526722433189,0.293136744612907,0.206540117286033,0
"39",40,0.224768031492288,0.169091931044477,0.205646747071572,1.07357221715178
"40",41,0.0129810988996569,0.00766295330334851,0.0164399938135275,10.883949036537
"41",43,0.0348154208946118,0.00956997818134012,0.0220136983194938,6712.58784530037
"42",44,0.00867760574208729,0.0769601754712812,0.00879182568567233,0.0014032734058829
"43",45,0.249349229112587,0.132490720080023,0.187848801338013,2748.471088221
"44",46,1.04006063297286,0.939805541419961,0.974676200311593,0.985265714751901
"45",47,0.487235048869745,0.376935638598984,0.421303956989164,1390.99744168214
"46",48,0.0220231909833702,0.0990648092735538,0.0220071590824519,0.00638427215698032
"47",49,0.278897156808651,0.348978324707514,0.279022357115942,0.00329823646291159
"48",51,0.330167573250486,0.222020062609823,0.303766518676477,2564.92774543347
"49",53,0.0955230694022093,0.0543617624496104,0.0831116565492967,1.25285062913234
"50",54,0.524275739733961,0.562007163787451,0.535529715970333,0.0820933191193725
"51",55,0.144889838177931,0.176607780498594,0.145264679631067,0.0269421261139815
"52",56,0.00891835207826178,0.00284827022713439,0.00755827758761142,3.82189773592257
"53",57,0.00252914464999903,0.0651897323261121,0.00307929843082108,0.00155189291711443
"54",58,5.8811045049607e-05,0.110017765854583,0,0
"55",59,0.232173865847608,0.293747725102957,0.232117448791594,0.00190944551276659
"56",60,0.375109736669048,0.400287236415902,0.374285102183483,0.0596714709958022
"57",62,0.660485770704694,0.771222870722179,0.660304862511785,0.000622374574872879
"58",63,0.189744770325427,0.271274666172375,0.189722018863924,0.00462901681036699
"59",64,0.160734545698387,0.0763200815962349,0.139119223750359,3278.20114726009
"60",65,0.0785966321942445,0.0642883665846158,0.0897019129999488,0.558310317280647
"61",66,0.0488844681755915,0.0130749365718091,0.0293124536579174,13851.3275417213
"62",67,0.0244527513128413,0.00857036059757123,0.0203688657360333,10.9187716147554
"63",68,0.808865163006726,0.820769961163853,0.806985606955567,0.0940509671992225
"64",69,0.366510137487875,0.265167018661256,0.400114816161706,134.454291531508
"65",70,0.00514623816650599,0.123870142120946,0.00519242476636119,0
"66",71,0.283753017014834,0.331329761583279,0.283713908969544,0.00576193470440094
"67",72,0.0523360328144869,0.149331919070483,0.0523473872475755,0
"68",73,5.8811045049607e-05,0.122501719970934,0,0
"69",74,0.003457084817615,0.0860554243373797,0.00351648727296817,0
"70",75,64.8516261216904,75.6258641034443,64.8456014405772,0
"71",76,0.0184798228377947,0.0876601232309131,0.0185402461742188,0.00216851098398563
