"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1.77198344285666,0.576034098535831,-0.0152536334223338,0.100324550434254,4.56203242314658,0.901529195282128,-10,0,0.100327577772056,4.56205906611651
"2",2,9999351319.76745,9999142914.03711,0.0643424329925473,2.38057246057244,10,0.436147482094425,10,3997.39620325434,2363.2316249303,-10
"3",3,9998561509.22307,9999434723.16619,0.119806148693651,1.3828564503619,10,3033853.07343106,10,4960.7340874974,4439.75981301438,-10
"4",4,9997600848.10413,9995047568.25319,0.0165442807378318,1.83955553532921,10,1.31269316717248,10,0.000364969885251388,37.652085627788,-10
"5",6,15.6292136194105,16.2947961234566,0.00683863558869888,1.7368909620194,4.864419754904,7.10029518384627,-10,1.00420893274776,0.39828325615438,-5.95156835804097
"6",7,0.944828027657248,0.135297324148182,-0.0774539964979063,0.000622643599497107,-10,0.14612360169102,-4.70413153797979,0,0.0464722983947418,4.49576958853219
"7",9,2.21914043861889,3.96740155046035,0.00572615256614099,2.08974204804489,-10,2.58998558639056,9.00266747629263,2.59254709469473,0,9.02524904815268
"8",10,1.59563074430464,0.0657188134540447,-0.368387417442306,0.000367336789388636,-10,0.00142338905221974,-3.16827973271867,0,0.0236886264624355,0.194185801991867
"9",11,0.27574700775937,0.0131380682255475,-7.10912659813317,0,-10,0,-10,0,0.0131026108462152,0.977323166110286
"10",12,9999617101.47692,9998725516.02976,0.0776305422784699,0.933740998430285,10,5608692.22368789,10,3372.46395016526,4755.43822413623,-10
"11",13,0.0133432276837498,5.8811045049607e-05,0.0615041160765791,0.000876593241663163,0.229644713868306,0.00212575947107277,0.592652044149285,0.0146759384150398,0,1.03412074831929
"12",14,0.356375146186289,5.8811045049607e-05,0.00852324155749521,3.46944695195361e-18,0.474039433656362,0.000756701393266947,0.0638164910846208,0.000565186308957906,0.14653864215735,1.0114380466632
"13",15,9947328570.46888,9960667119.80311,-0.00419935236479316,5.33857628996689,-10,1.95149051882097,-10,0,5.3385164085547,-10
