"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574769839530361,NA,NA,NA,NA
"62",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,1.86442692312877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,0.89167957264622,0.4033338716248,NA,NA,NA,NA,NA,NA,0.527622815061054,NA
"66",NA,NA,0.0449142399273914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,0.0252997622477102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0210592104509219,NA,NA,NA,NA
"71",2.67912735777746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,0.00404514274987697,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.53117946353299,NA,NA,NA
"76",0.82194477417219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738855737167349
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",0.030619098438008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.21724893790086e-15,NA,NA,NA,NA
"80",1.53320206602503,NA,0.0625911707210038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,16.9979154626601,NA,NA,NA,NA,NA,NA,NA,NA
