"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0.475874199704775,0.0234549207963686,-0.0574332900875499,0.000532328475427222,-10,0,-0.0574523373699211,0,0.0224189445643685,0.870233725019741
"2",2,9999569124.97081,9999080700.66994,0.0686407570992779,2.20137959729819,10,0.412700700801886,10,3891.71360200166,3570.51867401747,-10
"3",3,9999530025.33034,9999648489.21721,0.101016216310863,1.9339605230195,10,0.273072996728122,10,0.273072948053692,0,10
"4",4,9997736643.48321,9989482737.17708,0.0166063259147259,3.49913887867885,10,1.36243197808055,10,0.000819214441541669,44.8298657427912,-10
"5",6,11.4128473569973,12.4930894562731,0.0057942887478867,3.17798936400589,5.52159667407056,5.31641723490806,-10,1.52040708206035,0.219383892486227,-10
"6",7,0.891584823426213,0.143211414200594,-0.0538584486790839,0.00825199220946257,-10,0.172390503997714,-3.79601812465947,0,0.0315501460575611,4.01060271194376
"7",9,0.945248584758918,3.78887885296882,0.0158272002185565,2.82962138220191,-1.94070246961719,1.38689049633597,10,1.38689900520137,0,10
"8",10,1.12962993243059,0.0529439243734348,-0.179820514605953,1.73472347597681e-18,-10,0.00141861424713677,-1.54033528906565,0,0,-0.179820873373376
"9",11,0.480454575397745,0.0194505390368775,-0.457158759339398,0.000735194567594558,0.0664374573287402,0,-0.457151880470866,0,0.0188069671987731,0.888838795334367
"10",12,9999671424.80046,9999169235.62141,0.0699350117029303,1.25136968017047,10,1678648.01448582,10,4936.7877963533,4492.02570901199,-10
"11",13,0.0237056012273515,5.8811045049607e-05,0.0485698913232223,0.000675818023128364,0.228557291334929,0.00310092562995837,0.508607025067382,0.0035762508040179,0,0.532599927627085
"12",14,0.592460642060716,0.745588456600594,0.0117935097558527,0.943452628834336,-0.592761758406576,0.587175877397329,0.973985681258747,0.00064446536436354,0.231406629302255,1.04966021942518
"13",15,8.10540747680097,8.77548766761085,-0.000851000853354412,5.17716126907748,-10,2.48672392666902,-10,1.35524821492721,0.156194757143349,-10
"14",16,1.95434857819007,10.4763536684677,0.0144190749272723,12.7446744206859,-8.59013315619816,1.4533211245541,10,1.45332099706894,0,10
"15",17,0.418239318949026,0.0124888652682478,-0.215499260967574,0.000823306844421279,0.0447142781123698,0,-0.215499693647019,0,0.0112041410788527,0.884104299727298
