"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0.373792100489501,0.0135210780953983,-0.0774687054342688,0.000511702677618584,0.139788143669889,0,-0.077482001510768,0,0.0127807196045117,0.897052262471066
"2",2,9999429590.10806,9999665158.01225,0.0725829544608078,2.37699565058924,10,0.382492892378987,10,0.382492896425957,0,10
"3",3,9999567390.83158,9997739267.51123,0.0917025014785569,4.42720607264035,10,0.288809529521688,10,0.00656599541166884,0,1.17404479951521
"4",4,9997788701.96571,9999495699.97545,0.0166648551787553,20.3043268694293,10,1.42433780547728,10,902.451817399106,1093.28076617082,-10
"5",6,11.9444420544545,13.1205917605902,0.00122647972914349,4.82398720748894,5.86101886190001,4.23331014378582,-10,1.18393272173244,0.186221295415959,-10
"6",7,1.07562842907984,0.159172419789939,-0.0410302955827981,0.0318041704028791,-10,0.222190825134782,-3.64857826508309,0.00852357585277286,0.0730945386068296,-1.05004742559754
"7",9,0.061863054574498,2.47027996880383,0.033275227596365,1.50159054674573,-1.66175201936916,0.429656784909582,5.31270871036604,0.0007409573478012,0.0468313116381388,1.06621204134662
"8",10,0.673101166978649,0.0371962739381123,-0.109162975687319,0.000937967843538582,-10,0,-0.109161929775024,0,3.34464318862979e-05,2.45373262859863
"9",11,1.1094433720906,0.0344709937329875,-0.391864086473767,0.000522155211885602,-10,0,-0.391846267674044,-3.5487240743548e-20,0.744445661955371,0.551289753793055
"10",12,9999463350.0064,9999182889.81843,0.0671641501586235,1.30329253425185,10,1550802.53203903,10,4168.03692239119,4610.36939400882,-10
"11",13,0.0338112994146401,5.8811045049607e-05,0.040296038609049,0.000704249150713204,0.201130665134506,0.00224927715378998,0.386500508067959,0.000680326019384574,0.0341788488800509,0.993512052478505
"12",14,0.150339222604666,2.07544940819267,0.0254102026766622,1.08838581853124,4.64475624085099,0.79260917597535,6.75807691943064,0.745865326420357,0.0286886104814002,10
"13",15,9.02225128785048,11.7401805215693,0.00501532709112752,8.4152809501949,-10,6.21950088128404,-10,0.115626732566513,0.773839070539894,3.43433293644856
"14",16,0.190489249024155,2.2683988280597,0.0175303750044215,2.68095335382952,-0.59414699749195,0.813362359617647,5.69975487049361,0.620376133762017,0.0630172170409062,10
"15",17,0.386642143017919,0.00996566310370211,-7.11465867250264,0.000755762148273223,0.0904748840435444,0,-5.50100734378198,0,0.00908602028959201,0.914217137951553
"16",18,2.44687546790473,1.65171434346654,-0.023302283634934,2.24922107377644,-7.73844352334767,0.929298000425663,-10,0,2.24920080604126,-7.73857271099158
"17",19,9999138594.79476,9999338157.74513,0.165543146691394,3.417673013822,10,0.173013456013325,10,3228.15944704179,2644.31602217545,-10
"18",20,9997730376.80157,9997258698.61593,0.0184908794867009,1.61370630330748,10,756534.014671472,10,1229.68970372005,4050.10466934274,-10
"19",21,0.526500640040386,0.0152935436453701,-0.483075442296969,0.000830160638291902,-10,0.00234931244629134,-4.68173924461797,0,0.00164504089402948,-10
